paper_title,author_names,year,publication_venue,index
comput cluster of correl connect object,"christian böhm, karin kailing, peer kröger, arthur zimek",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfacad
transact support for index summari view,"goetz graefe, michael zwilling",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfaca2
fast comput of databa oper use graphic processor,"naga k. govindaraju, brandon lloyd, wei wang, ming lin, dinesh manocha",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfac99
approxim xml queri answer,"neoklis polyzotis, minos garofalakis, yannis ioannidis",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfac9d
a bilevel bernoulli scheme for databa sampl,"peter j. haas, christian könig",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfac9e
identifi similar period and burst for onlin search queri,"michail vlachos, christopher meek, zografoula vagena, dimitrios gunopulos",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfac92
rankawar queri optim,"ihab f. ilyas, rahul shah, walid g. aref, jeffrey scott vitter, ahmed k. elmagarmid",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfac98
data stream manag for histor xml data,"sujoe bose, leonidas fegaras",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfac9b
compress histor inform in sensor network,"antonios deligiannakis, yannis kotidis, nick roussopoulos",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfacb3
a formal analysi of inform disclosur in data exchang,"gerome miklau, dan suciu",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfacb7
imap discov complex semant match between databa schema,"robin dhamankar, yoonkyong lee, anhai doan, alon halevy, pedro domingos",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfaca7
extend queri rewrit techniqu for finegrain access control,"shariq rizvi, alberto mendelzon, s. sudarshan, prasan roy",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfacb5
effici queri reformul in peer data manag system,"igor tatarinov, alon halevy",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfacb4
approxim techniqu for spatial data,"abhinandan das, johannes gehrke, mirek riedewald",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfacc1
index spatiotempor trajectori with chebyshev polynomi,"yuhan cai, raymond ng",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfacb9
toss an exten of tax with ontolog and similar queri,"edward hung, yu deng, v. s. subrahmanian",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfacc3
spatiallydecay aggreg over a network model and algorithm,"edith cohen, haim kaplan",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfacc2
buffer datab oper for enhanc instruct cach perform,"jingren zhou, kenneth a. ross",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfac97
order preserv encrypt for numer data,"rakesh agrawal, jerry kiernan, ramakrishnan srikant, yirong xu",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfacb6
diamond in the rough find hierarch heavi hitter in multidimens data,"graham cormode, flip korn, s. muthukrishnan, divesh srivastava",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfac94
understand web queri interfac besteffort par with hidden syntax,"zhen zhang, bin he, kevin chen-chuan chang",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfac90
automat categor of queri result,"kaushik chakrabarti, surajit chaudhuri, seung-won hwang",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfacc6
optim of queri stream use semant prefetch,"ivan t. bowman, kenneth salem",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfac96
costba label of group of mass spectra,"lei chen, zheng huang, raghu ramakrishnan",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfac95
toward a progress indic for databa queri,"gang luo, jeffrey f. naughton, curt j. ellmann, michael w. watzke",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfacc9
queri sampl in db2 univ databa,"jarek gryz, junjie guo, linqi liu, calisto zuzarte",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfaccd
on the integr of structur index and invert list,"raghav kaushik, rajasekar krishnamurthy, jeffrey f. naughton, raghu ramakrishnan",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfacc8
estim progress of execut for sql queri,"surajit chaudhuri, vivek narasayya, ravishankar ramamurthy",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfacca
when one sampl is not enough improv text databa select use shrinkag,"panagiotis g. ipeirotis, luis gravano",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfacc7
informationtheoret tool for mine databa structur from larg data set,"periklis andritsos, renée j. miller, panayiotis tsaparas",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfacc4
vertic and horizont percentag aggreg,carlos ordonez,2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfacd2
blas an effici xpath process system,"yi chen, susan b. davidson, yifeng zheng",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfac8b
farmer find interest rule group in microarray dataset,"gao cong, anthony k. h. tung, xin xu, feng pan, jiong yang",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfac93
effici process of xml twig queri with orpr,"haifeng jiang, hongjun lu, wei wang",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfac8c
requir and polici challeng in high secur environ,dean e. hall,2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfacda
load manag and high avail in the medusa distribut stream process system,"magdalena balazinska, hari balakrishnan, michael stonebraker",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dface9
streamon an adapt engin for stream queri process,"shivnath babu, jennifer widom",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfacea
maid mine alarm incid from data stream,"y. dora cai, david clutter, greg pape, jiawei han, michael welge, loretta auvil",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dface4
webcam monitor the dynam web to respond to continu queri,"shaveen garg, krithi ramamritham, soumen chakrabarti",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dface8
pipe a public infrastructur for process and explor stream,"jürgen krämer, bernhard seeger",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dface7
datamime™,"masum serazi, vasily malakhov, dongmei ren, amal perera, imad rahal, weihua wu, qiang ding, fei pan, william perrizo",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dface6
lexequ multilex match oper in sql,"a. kumaran, jayant r. haritsa",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfacf3
manag healthcar data hippocrat,"rakesh agrawal, ameet kini, kristen lefevre, amy wang, yirong xu, diana zhou",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfacf2
itq an integr transport queri system,"b. huang, z. huang, h. li, d. lin, h. lu, y. song",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfacf4
secur of share data in larg system state of the art and research direct,"arnon rosenthal, marianne winslett",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfacf9
effici develop of data migrat transform,"paulo carreira, helena galhardas",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dface2
façad a fast and effect approach to the discoveri of den cluster in noisi spatial data,"yu qian, gang zhang, kang zhang",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dface5
liquid data for weblog integr enterpri data and servic,vinayak borkar,2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dface3
cama a citizen awar system for crisi mitig,"sharad mehrotra, carter butts, dmitri v. kalashnikov, nalini venkatasubramanian, kemal altintas, ram hariharan, haimin lee, yiming ma, amnon myers, jehan wickramasuriya, ron eguchi, charles huyck",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfacf6
knock the door to the deep web integr web queri interfac,"bin he, zhen zhang, kevin chen-chuan chang",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dface1
declar specif of web applic exploit web servic and workflow,"marco brambilla, stefano ceri, sara comai, marco dario, piero fraternali, ioana manolescu",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfacdf
yoohoo build a presenc servic with xqueri and wsdl,"mary fernández, nicola onose, jérôme siméon",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dface0
effici set join on similar predic,"sunita sarawagi, alok kirpal",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfacc5
xml in the middl xqueri in the weblog platform,michael j. carey,2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfacdd
serviceori bi toward tight integr of busi intellig into oper applic,"marcus dill, achim kraiss, stefan sigg, thomas zurek",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfacdc
inform assur technic challeng,nicholas j. multari,2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfacdb
dbswitch™ toward a databa util,"shaul dar, gil hecht, eden shochat",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfacd9
modeldriven busi ui base on map,per bendsen,2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfacd8
soundcompass a practic querybyhum system normal of scalabl and shiftabl timeseri data and effect subsequ generat,"naoko kosugi, yasushi sakurai, masashi morimoto",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfacd7
enabl sovereign inform share use web servic,"rakesh agrawal, dmitri asonov, ramakrishnan srikant",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfacd4
secur reliabl transact innov in web servic architectur,martin gudgin,2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfacd6
high avail faulttol parallel dataflow,"mehul a. shah, joseph m. hellerstein, eric brewer",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfaccc
parallel sql execut in oracl 10g,"thierry cruanes, benoit dageville, bhaskar ghosh",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfaccf
relax currenc and consist how to say good enough in sql,"hongfei guo, per-åke larson, raghu ramakrishnan, jonathan goldstein",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfaccb
build dynam applic network with web servic,matthew mihic,2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfacd5
host the net runtim in microsoft sql server,"alazel acheson, mason bendixen, josé a. blakeley, peter carlin, ebru ersan, jun fang, xiaowei jiang, christian kleinerman, balaji rathakrishnan, gideon schaller, beysim sezgin, ramachandran venkatesh, honggang zhang",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfacd1
model for web servic tansact,mark little,2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfacd3
data densif in a relat databa system,"abhinav gupta, sankar subramanian, srikanth bellamkonda, tolga bozkaya, nathan folkert, lei sheng, andrew witkowski",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfacd0
queri process for sql updat,"césar a. galindo-legaria, stefano stefani, florian waas",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfacce
secur xml queri with secur view,"wenfei fan, chee-yong chan, minos garofalakis",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfacb8
join interv data in relat databa,"jost enderle, matthias hampel, thomas seidl",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfacc0
sina scalabl increment process of continu queri in spatiotempor databa,"mohamed f. mokbel, xiaopeing xiong, walid g. aref",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfacbb
cord automat discoveri of correl and soft function depend,"ihab f. ilyas, volker markl, peter haas, paul brown, ashraf aboulnaga",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfacbd
robust queri process through progress optim,"volker markl, vijayshankar raman, david simmen, guy lohman, hamid pirahesh, miso cilimdzic",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfacbe
predict and index of move object with unknown motion pattern,"yufei tao, christos faloutsos, dimitris papadias, bin liu",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfacba
stripe an effici index for predict trajectori,"jignesh m. patel, yun chen, v. prasad chakka",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfacbc
canon abstract for outerjoin optim,"jun rao, hamid pirahesh, calisto zuzarte",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfacbf
the price of valid in dynam network,"mayank bawa, aristides gionis, hector garcia-molina, rajeev motwani",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfacb2
static optim of conjunct queri with slide window over infinit stream,"ahmed m. ayad, jeffrey f. naughton",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfacaa
adapt to sourc properti in process data integr queri,"zachary g. ives, alon y. halevy, daniel s. weld",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfaca8
constraintba xml queri rewrit for data integr,"cong yu, lucian popa",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfaca6
cluster object on a spatial network,"man lung yiu, nikos mamoulis",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfacac
dynam plan migrat for continu queri over data stream,"yali zhu, elke a. rundensteiner, george t. heineman",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfacab
increment evalu of schemadirect xml publish,"philip bohannon, byron choi, wenfei fan",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfacb1
increment and effect data summar for dynam hierarch cluster,"samer nassar, jörg sander, corrine cheng",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfacae
implement a scalabl xml publishsubscrib system use relat databa system,"feng tian, berthold reinwald, hamid pirahesh, tobias mayr, jussi myllymaki",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfacaf
adapt order of pipelin stream filter,"shivnath babu, rajeev motwani, kamesh munagala, itaru nishizawa, jennifer widom",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfaca9
increment mainten of xml structur index,"ke yi, hao he, ioana stanoi, jun yang",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfacb0
tool for design of composit web servic,"richard hull, jianwen su",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfacf8
index and mine stream,christos faloutsos,2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfacfb
fast algorithm for time seri with applic to financ physic music biolog and other suspect,"alberto lerner, dennis shasha, zhihua wang, xiaojian zhao, yunyue zhu",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfacfa
rethink the confer review process,"michael j. franklin, jennifer widom, anastassia ailamaki, philip a. bernstein, david dewitt, alon halevy, zachary ives, gerhard weikum",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfacf7
bodhi a databa habitat for biodiv inform,"srikanta j. bedathur, abhijit kadlag, jayant r. haritsa",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfacf5
a texqueryba xml fulltext search engin,"chavdar botev, sihem amer-yahia, jayavel shanmugasundaram",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfacf0
ordpath insertfriend xml node label,"patrick o'neil, elizabeth o'neil, shankar pal, istvan cseri, gideon schaller, nigel westbury",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfacde
share your data keep your secret,"irini fundulaki, arnaud sahuguet",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfacf1
xseq an index infrastructur for tree pattern queri,"xiaofeng meng, yu jiang, yan chen, haixun wang",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfacef
support for relax currenc and consist constraint in mtcach,"hongfei guo, per-åke larson, raghu ramakrishnan, jonathan goldstein",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfaced
an index framework for peertop system,"adina crainiceanu, prakash linga, ashwin machanavajjhala, johannes gehrke, jayavel shanmugasundaram",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfacee
p2pdiet an exten p2p servic that unifi adhoc and continu queri in superp network,"stratos idreos, manolis koubarakis, christos tryfonopoulos",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfaceb
queri at internet scale,"brent chun, joseph m. hellerstein, ryan huebsch, shawn r. jeffery, boon thau loo, sam mardanbeigi, timothy roscoe, sean rhea, scott shenker, ion stoica",2004,sigmod 04 proceed of the 2004 acm sigmod intern confer on manag of data,5390972920f70186a0dfacec
proceed of the 9th acm sigmod workshop on research issu in data mine and knowledg discoveri,"gautam das, bing liu, philip s. yu",2004,9th acm sigmod workshop on research issu in data mine and knowledg discoveri 2004 coloc with sigmodpod 2004 confer,5390972920f70186a0dfafa3
an associ classifi base on posit and negat rule,"maria-luiza antonie, osmar r. zaïane",2004,proceed of the 9th acm sigmod workshop on research issu in data mine and knowledg discoveri,5390972920f70186a0dfafac
discoveri of ad web host through traffic data analysi,"v. bacarella, f. giannotti, m. nanni, d. pedreschi",2004,proceed of the 9th acm sigmod workshop on research issu in data mine and knowledg discoveri,5390972920f70186a0dfafae
cofi approach for mine frequent itemset revisit,"mohammad el-hajj, osmar r. zaïane",2004,proceed of the 9th acm sigmod workshop on research issu in data mine and knowledg discoveri,5390972920f70186a0dfafad
horizont aggreg for build tabular data set,carlos ordonez,2004,proceed of the 9th acm sigmod workshop on research issu in data mine and knowledg discoveri,5390972920f70186a0dfafa8
iter record linkag for clean and integr,"indrajit bhattacharya, lise getoor",2004,proceed of the 9th acm sigmod workshop on research issu in data mine and knowledg discoveri,5390972920f70186a0dfafa5
privacypreserv data integr and share,"chris clifton, murat kantarcioǧlu, anhai doan, gunther schadow, jaideep vaidya, ahmed elmagarmid, dan suciu",2004,proceed of the 9th acm sigmod workshop on research issu in data mine and knowledg discoveri,5390972920f70186a0dfafa6
fptax tree structur base general associ rule mine,"iko pramudiono, masaru kitsuregawa",2004,proceed of the 9th acm sigmod workshop on research issu in data mine and knowledg discoveri,5390972920f70186a0dfafab
discov spatial pattern accur with effect noi remov,"yu qian, kang zhang",2004,proceed of the 9th acm sigmod workshop on research issu in data mine and knowledg discoveri,5390972920f70186a0dfafa9
diagon subgraph pattern mine,"moti cohen, ehud gudes",2004,proceed of the 9th acm sigmod workshop on research issu in data mine and knowledg discoveri,5390972920f70186a0dfafaa
mine associ rule with nonuniform privaci concern,"yi xia, yirong yang, yun chi",2004,proceed of the 9th acm sigmod workshop on research issu in data mine and knowledg discoveri,5390972920f70186a0dfafa7
mine complex match across web queri interfac,"bin he, kevin chen-chuan chang, jiawei han",2004,proceed of the 9th acm sigmod workshop on research issu in data mine and knowledg discoveri,5390972920f70186a0dfafa4
queri bilevel inform,"sudarshan murthy, david maier, lois delcambre",2004,proceed of the 7th intern workshop on the web and databa coloc with acm sigmodpod 2004,5390975920f70186a0dfc97d
visual and discov web navig pattern,"jiyang chen, lisheng sun, osmar r. zaïane, randy goebel",2004,proceed of the 7th intern workshop on the web and databa coloc with acm sigmodpod 2004,5390975920f70186a0dfc97e
semant multicast for contentba stream dissemin,"olga papaemmanouil, uĝur çetintemel",2004,proceed of the 7th intern workshop on the web and databa coloc with acm sigmodpod 2004,5390975920f70186a0dfc982
bestmatch queri from documentcentr xml,"jaap kamps, maarten marx, maarten de rijke, börkur sigurbjörnsson",2004,proceed of the 7th intern workshop on the web and databa coloc with acm sigmodpod 2004,5390975920f70186a0dfc985
check potenti valid of xml document,"ionut e. iacob, alex dekhtyar, michael i. dekhtyar",2004,proceed of the 7th intern workshop on the web and databa coloc with acm sigmodpod 2004,5390975920f70186a0dfc98b
queri peertop network use ptree,"adina crainiceanu, prakash linga, johannes gehrke, jayavel shanmugasundaram",2004,proceed of the 7th intern workshop on the web and databa coloc with acm sigmodpod 2004,5390975920f70186a0dfc980
one torus to rule them all multidimens queri in p2p system,"prasanna ganesan, beverly yang, hector garcia-molina",2004,proceed of the 7th intern workshop on the web and databa coloc with acm sigmodpod 2004,5390975920f70186a0dfc97f
twig queri process over graphstructur xml data,"zografoula vagena, mirella m. moro, vassilis j. tsotras",2004,proceed of the 7th intern workshop on the web and databa coloc with acm sigmodpod 2004,5390975920f70186a0dfc983
mine approxim function depend and concept similar to answer impreci queri,"ullas nambiar, subbarao kambhampati",2004,proceed of the 7th intern workshop on the web and databa coloc with acm sigmodpod 2004,5390975920f70186a0dfc988
dtds versus xml schema a practic studi,"geert jan bex, frank neven, jan van den bussche",2004,proceed of the 7th intern workshop on the web and databa coloc with acm sigmodpod 2004,5390975920f70186a0dfc989
content and structur in index and rank xml,"felix weigel, holger meuss, klaus u. schulz, françois bry",2004,proceed of the 7th intern workshop on the web and databa coloc with acm sigmodpod 2004,5390975920f70186a0dfc987
on valid of xml stream use finit state machin,"cristiana chitic, daniela rosu",2004,proceed of the 7th intern workshop on the web and databa coloc with acm sigmodpod 2004,5390975920f70186a0dfc98a
challeng in select path for navig queri tradeoff of benefit of path versus cost of plan,"maría-esther vidal, louiqa raschid, julian mestre",2004,proceed of the 7th intern workshop on the web and databa coloc with acm sigmodpod 2004,5390975920f70186a0dfc986
spam damn spam and statist use statist analysi to locat spam web page,"dennis fetterly, mark manasse, marc najork",2004,proceed of the 7th intern workshop on the web and databa coloc with acm sigmodpod 2004,5390975920f70186a0dfc97c
scalabl dissemin what hot and what not,"jonathan beaver, nicholas morsillo, kirk pruhs, panos k. chrysanthis, vincenzo liberatore",2004,proceed of the 7th intern workshop on the web and databa coloc with acm sigmodpod 2004,5390975920f70186a0dfc981
unravel the duplicateelimin problem in xmltosql queri translat,"rajasekar krishnamurthy, raghav kaushik, jeffrey f naughton",2004,proceed of the 7th intern workshop on the web and databa coloc with acm sigmodpod 2004,5390975920f70186a0dfc984
text centric structur extract and exploit abstract on,prabhakar raghavan,2004,proceed of the 7th intern workshop on the web and databa coloc with acm sigmodpod 2004,5390975920f70186a0dfdc0c
the vldb journal — the intern journal on veri larg data base,unamed,2004,the vldb journal — the intern journal on veri larg data base,5590e1730cf2baaad9717854
best paper of vldb 2003,"johann-christoph freytag, serge abiteboul, mike carey",2004,the vldb journal — the intern journal on veri larg data base,5390975920f70186a0dfe096
automat integr of web search interfac with wiseintegr,"hai he, weiyi meng, clement yu, zonghuan wu",2004,the vldb journal — the intern journal on veri larg data base,5390975920f70186a0dfe094
