paper_title,author_names,year,publication_venue,index
from semant integr to semant manag case studi and a way forward,"arnon rosenthal, leonard j. seligman, scott renner",2004,sigmod record,53e9b98ab7602d970457d0e7
chair messag,m. tamer özsu,2001,sigmod record,53e99809b7602d970201f952
videoanywh a system for search and manag distribut video asset,"amit p. sheth, clemens bertram, kshitij shah",1999,sigmod record,53e9b701b7602d970429aca2
qualiti of servic in multimedia digit librari,"elisa bertino, ahmed k. elmagarmid, mohand-said hacid",2001,sigmod record,53e99d7ab7602d97026369c3
reminisc an influenti paper,"kenneth a. ross, minos n. garofalakis, jeffrey f. naughton",2003,sigmod record,53e99b04b7602d97023955a6
databa research at arizona state univ,"susan darling urban, suzanne w. dietrich, forouzan golshani",1996,sigmod record,53e9b938b7602d97045251fa
sqlj part 0 now known as sqlolb objectlanguag bind,"andrew eisenberg, jim melton",1998,sigmod record,53e9a1fab7602d9702afd7f8
materi view and data wareh,nick roussopoulos,1998,sigmod record,53e9b017b7602d9703a7115b
algebra chang propag for semijoin and outerjoin queri,"timothy griffin, bharat kumar",1998,sigmod record,53e9ad42b7602d9703722d03
report on the 3rd web dynam workshop at www2004,"mark levene, alexandra poulovassilis",2004,sigmod record,53e99938b7602d9702178a2d
opportun in inform manag and assur,xiaolei qian,1997,sigmod record,53e9b4b4b7602d9703fc8743
semant b2b integr issu in ontologyba applic,"zhan cui, dean m. jones, paul o'brien",2002,sigmod record,53e99915b7602d9702153324
chair messag,m. tamer özsu,2002,sigmod record,53e99809b7602d970201f8e7
evolut and chang in data manag issu and direct,"john f. roddick, lina al-jadir, leopoldo e. bertossi, marlon dumas, florida estrella, heidi gregersen, kathleen hornsby, jens lufter, federica mandreoli, tomi männistö, enric mayol, lex wedemeijer",2000,sigmod record,53e9a9f0b7602d9703359b92
interview c mohan speak out,"marianne winslett, c. mohan",2004,sigmod record,53e9a906b7602d970325609c
robust key establish in sensor network,yongge wang,2004,sigmod record,53e9a833b7602d970317d4fd
workshop report the first intern workshop on activ and realtim databa system artdb95,"mikael berndtsson, jörgen hansson",1996,sigmod record,53e99eb5b7602d970277f14a
editor note,ling liu,2001,sigmod record,53e99800b7602d970200b603
lore a databa manag system for semistructur data,"jason mchugh, serge abiteboul, roy goldman, dallan quass, jennifer widom",1997,sigmod record,53e9b57cb7602d97040be00a
on the issu of valid time in tempor databa,"stavros kokkotos, efstathios v. ioannidis, themis panayiotopoulos, constantine d. spyropoulos",1995,sigmod record,53e9afb9b7602d9703a05ea6
power effici data gather and aggreg in wireless sensor network,"hüseyin özgür tan, ibrahim korpeoglu",2003,sigmod record,53e9a6c3b7602d9702ff5623
yahiko kambayashi februari 15 1943 februari 6 2004 a tribut and person memoir,"yoshifumi masunaga, katsumi tanaka",2004,sigmod record,53e9a4a3b7602d9702dc6cee
right of tod reader author and review,richard t. snodgrass,2002,sigmod record,53e9b61bb7602d97041747ee
the new middlewar,rich finkelstein,1995,sigmod record,53e99853b7602d97020885ae
data manag for earth system scienc,"james frew, jeff dozier",1997,sigmod record,53e9b33db7602d9703e13425
the oasi multidataba prototyp,"mark roantree, john murphy, wilhelm hasselbring",1999,sigmod record,53e99ae6b7602d970236b9ef
cluster valid check method part ii,"maria halkidi, yannis batistakis, michalis vazirgiannis",2002,sigmod record,53e99a8cb7602d97022fffcc
editor note,ling liu,2004,sigmod record,53e99800b7602d970200b601
phoenix project faulttol applic,"roger s. barga, david b. lomet",2002,sigmod record,53e9aed1b7602d97038fac02
implement delet in btree,jan jannink,1995,sigmod record,53e9a905b7602d9703253c45
on the academ interview circuit an endtoend discuss,ugur çetintemel,2001,sigmod record,53e99a0ab7602d970225bdc5
issu in mechan engin design manag,"dave hislop, zoé lacroix, gerald moeller",2004,sigmod record,53e9bcd2b7602d9704956f2b
ontolog a silver bullet for knowledg manag and electron commerc book review,antonio badia,2002,sigmod record,53e99c91b7602d97025452d2
mpeg7 and multimedia databa system,harald kosch,2002,sigmod record,53e9bb08b7602d9704743dab
what will be book review,paul w. p. j. grefen,2002,sigmod record,53e9b2d2b7602d9703d831da
reminisc on influenti paper,"kenneth a. ross, johannes gehrke, jun rao",2003,sigmod record,53e99b0ab7602d970239c219
unpack the semant of sourc and usag to perform semant reconcili in largesc inform system,"kenneth p. smith, leo obrst",1999,sigmod record,53e9ac38b7602d97035fd442
report on first intern workshop on realtim databa system,"azer bestavros, kwei-jay lin, sang hyuk son",1996,sigmod record,53e9ba9bb7602d97046c560f
reminisc on influenti paper,"kenneth a. ross, flip korn, renée j. miller, kaladhar voruganti",2002,sigmod record,53e99b0ab7602d970239c211
bring order to queri optim,"giedrius slivinskas, christian s. jensen, richard t. snodgrass",2002,sigmod record,53e9aaa9b7602d97034211e0
metadata standard for data wareh open inform model vs common wareh metamodel,"thomas vetterli, anca vaduva, martin staudt",2000,sigmod record,53e9a4f3b7602d9702e17725
databa and transact process an applicationori approach book review,alfons kemper,2002,sigmod record,53e9b867b7602d97044345c3
turmoil at nasa and numer fund announc,xiaolei qian,1995,sigmod record,53e9b6c4b7602d970424fff3
toward a richer web object model,frank manola,1998,sigmod record,53e9afeeb7602d9703a411ba
report in isdo 00 the caise00 workshop on infrastructur for dynam businesstobusi servic outsourcinga,"heiko ludwig, paul w. p. j. grefen",2000,sigmod record,53e9a051b7602d9702935a51
toward autonom comput with db2 univ databa,"sam lightstone, guy m. lohman, daniel c. zilio",2002,sigmod record,53e9a25cb7602d9702b61fef
report on the 7th edbt summer school xml and databa,"riccardo torlone, paolo atzeni",2004,sigmod record,53e9bd98b7602d9704a459d7
the genalg project,"joachim hammer, markus schneider 0001",2004,sigmod record,53e99854b7602d970208eaa9
mobil databa a select of open issu and research direct,"guy bernard, jalel ben-othman, luc bouganim, gérôme canals, sophie chabridon, bruno defude, jean ferrié, stéphane gançarski, rachid guerraoui, pascal molli, philippe pucheral, claudia roncancio, patricia serrano-alvarado, patrick valduriez",2004,sigmod record,53e9aabdb7602d970343b0bc
simul data as data stream,"ghaleb abdulla, terence critchlow, william arrighi",2004,sigmod record,53e9b4efb7602d970401a8a0
incontext peertop inform filter on the web,aris m. ouksel,2003,sigmod record,53e9b0fbb7602d9703b753f1
toward a databa bodi of knowledg a studi from spain,"coral calero, mario piattini, francisco ruiz",2003,sigmod record,53e9a5cdb7602d9702ef7927
report on the 9th intern workshop on data base program languag,"georg lausen, dan suciu",2004,sigmod record,53e9a651b7602d9702f831d8
research and practic in feder inform system report of the efi 2000 intern workshop,"wilhelm hasselbring, willem-jan van den heuvel, geert-jan houben, ralf-detlef kutsche, bodo rieger, mark roantree, kazimierz subieta",2000,sigmod record,53e99fc3b7602d970289e46b
the clio project manag heterogen,"renée j. miller, mauricio a. hernández, laura m. haas, ling-ling yan, c. t. howard ho, ronald fagin, lucian popa",2001,sigmod record,53e9b59bb7602d97040e14f1
perform job without decompress in a compress databa system,"s. j. o'connell, n. winterbottom",2003,sigmod record,53e9ad76b7602d9703764548
data mine practic machin learn tool and techniqu book review,james geller,2002,sigmod record,53e9abc5b7602d9703578d03
infosph project system support for inform flow applic,"calton pu, karsten schwan, jonathan walpole",2001,sigmod record,53e9b97cb7602d970456a2b5
cost estim of userdefin method in objectrel databa system,"jihad boulos, kinji ono",1999,sigmod record,53e99e05b7602d97026cb93f
reminisc on influenti paper,"kenneth a. ross, amr el abbadi, theodore johnson, richard t. snodgrass",2002,sigmod record,53e99b0ab7602d970239c211
multigranular lock in multipl job class transact process system,"shan-hoi ng, sheung-lun hung",1995,sigmod record,53e99b26b7602d97023bfae5
kanata adapt and evolut in data share system,"periklis andritsos, ariel fuxman, anastasios kementsietsidis, renée j. miller, yannis velegrakis",2004,sigmod record,53e9be5db7602d9704b1f543
vldb workshop on technolog in eserv tes,"fabio casati, umeshwar dayal, ming-chien shan",2000,sigmod record,53e9ba0bb7602d970460d669
mine system audit data opportun and challeng,"wenke lee, wei fan",2001,sigmod record,53e9bbcfb7602d970481e590
sql multimedia and applic packag sqlmm,"jim melton, andrew eisenberg",2001,sigmod record,53e9bd11b7602d970499c03a
nsf workshop on industrialacadem cooper in databa system,"michael j. carey, leonard j. seligman",1999,sigmod record,53e99f57b7602d97028287a6
condit handl in sql persist store modul,jeff richey,1995,sigmod record,53e9b4d9b7602d9703ffe516
rethink the confer review process panel,"michael j. franklin, jennifer widom, gerhard weikum, philip a. bernstein, alon y. halevy, david j. dewitt, anastassia ailamaki, zachary g. ives",2004,sigmod confer,53e99924b7602d970215ef60
much ado about sharednoth,"michael g. norman, thomas zurek, peter thanisch",1996,sigmod record,53e9af46b7602d970398679c
webdb 98 intern workshop on the web and databa,"paolo atzeni, alberto o. mendelzon",1998,sigmod record,53e9a186b7602d9702a7bb6d
research in databa and datainten applic comput scienc depart and fzi univ of karlsruh,"birgitta könig-ries, peter c. lockemann",1997,sigmod record,53e9a8b0b7602d97031fe877
extract of objectori structur from exist relat databa,"shekar ramanathan, julia e. hodges",1997,sigmod record,53e9b40eb7602d9703f03182
spatial tempor and spatiotempor databa hot issu and direct for phd research,"john f. roddick, max j. egenhofer, erik g. hoel, dimitris papadias, betty salzberg",2004,sigmod record,53e9bb15b7602d970475279c
chair messag,richard t. snodgrass,2000,sigmod record,53e99809b7602d970201f8e3
cluster valid method part i,"maria halkidi, yannis batistakis, michalis vazirgiannis",2002,sigmod record,53e9ac8fb7602d97036690e5
sqljpart 1 sql routin use the java program languag,"andrew eisenberg, jim melton",1999,sigmod record,53e9a488b7602d9702da802a
land below a dbms,"kaladhar voruganti, jai menon, sandeep gopisetty",2004,sigmod record,53e99a8bb7602d97022fd9b9
compar analysi of six xml schema languag,"dongwon lee, wesley w. chu",2000,sigmod record,53e9b30ab7602d9703dce3a4
a survey of logic model for olap databa,"panos vassiliadis, timos k. sellis",1999,sigmod record,53e99fbcb7602d9702898c46
issu in data stream manag,"lukasz golab, m. tamer özsu",2003,sigmod record,53e9a96cb7602d97032c4567
convert relat to objectori databa,joseph fong,1997,sigmod record,53e9a0e6b7602d97029ce9e7
call for book review,karl aberer,2003,sigmod record,53e999ffb7602d970224d2e2
distribut deviat detect in sensor network,"themistoklis palpanas, dimitris papadopoulos, vana kalogeraki, dimitrios gunopulos",2003,sigmod record,53e9aef1b7602d970391ef85
acm multimedia 94 confer workshop on multimedia databa manag system,"p. bruce berra, kingsley c. nwosu, bhavani m. thuraisingham",1995,sigmod record,53e9a508b7602d9702e272bb
the third manifesto,"hugh darwen, c. j. date",1995,sigmod record,53e9984fb7602d970208642b
interview with jeffrey naughton,marianne winslett,2004,sigmod record,53e99aa6b7602d970231e894
review of web cach and replic by michael rabinovich and oliv spatscheck addison wesley 2002,"qiang wang, brian d. davison 0001",2003,sigmod record,53e9a5b6b7602d9702edd94d
interview with avi silberschatz,marianne winslett,2002,sigmod record,53e99aa6b7602d970231e5cf
ubidata requir and architectur for ubiquit data access,"abdelsalam helal, joachim hammer",2004,sigmod record,53e9a448b7602d9702d66728
chair messag,m. tamer özsu,2003,sigmod record,53e99809b7602d970201f928
guest editor introduct,asuman dogac,1998,sigmod record,53e99aacb7602d9702325e7b
xml and electron commerc enabl the network economi,"bart meltzer, robert j. glushko",1998,sigmod record,53e9a238b7602d9702b413fb
reminisc on influenti paper kenneth a ross,"zachary g. ives, bertram ludäscher, ioana manolescu",2004,sigmod record,53e99c4bb7602d97024fc441
automata theori for xml research,frank neven,2002,sigmod record,53e9ab65b7602d97035023ec
report on the web dynam workshop at www 2002,"mark levene, alexandra poulovassilis",2002,sigmod record,53e9adffb7602d9703809a8b
a contextawar methodolog for veri small data base design,"cristiana bolchini, fabio a. schreiber, letizia tanca",2004,sigmod record,53e9afacb7602d97039fb80e
book review column,karl aberer,2001,sigmod record,53e997e9b7602d9701fe4526
reminisc on influenti paper,"kenneth a. ross, yannis e. ioannidis, anant jhingran, christos h. papadimitriou",2000,sigmod record,53e99b0ab7602d970239c211
whi and how to benchmark xml databa,"albrecht schmidt 0002, florian waas, martin l. kersten, daniela florescu, michael j. carey, ioana manolescu, ralph busse",2001,sigmod record,53e9b4a1b7602d9703fad9ff
report on the mobil search workshop at www 2002,"aya soffer, yoëlle s. maarek, bay-wei chang",2002,sigmod record,53e9a28ab7602d9702b92b09
reminisc on influenti paper,richard t. snodgrass,1998,sigmod record,53e99b0ab7602d970239c217
view mainten in mobil comput,"ouri wolfson, a. prasad sistla, son dao, kailash narayanan, ramya raj",1995,sigmod record,53e9b47cb7602d9703f80ae7
busi data manag for b2b electron commerc,"christoph quix, mareike schoop, manfred a. jeusfeld",2002,sigmod record,53e9ad87b7602d9703780a0d
spotfir an inform explor environ,christopher ahlberg,1996,sigmod record,53e9b500b7602d970402fdab
dynam inform visual,yannis e. ioannidis,1996,sigmod record,53e99813b7602d970202daba
a brief survey of web data extract tool,"alberto h. f. laender, berthier a. ribeiro-neto, altigran soares da silva, juliana s. teixeira",2002,sigmod record,53e9aa0fb7602d97033792a6
evalu lockba protocol for cooper on xml document,"sven helmer, carl-christian kanne, guido moerkotte",2004,sigmod record,53e9b47cb7602d9703f7f787
reminisc on influenti paper,"kenneth a. ross, james r. hamilton, laks v. s. lakshmanan, limsoon wong",2001,sigmod record,53e99b0ab7602d970239c211
polit wind chang direct again,xiaolei qian,1995,sigmod record,53e9ad2cb7602d970370ccd1
olap relat and multidimens databa system,george colliat,1996,sigmod record,53e9b0b2b7602d9703b21cca
editor note,michael j. franklin,1997,sigmod record,53e99800b7602d970200b5fd
java support for datainten system experi build the telegraph dataflow system,"mehul a. shah, samuel madden, michael j. franklin, joseph m. hellerstein",2001,sigmod record,53e9ac4eb7602d970361effd
xpath process in a nutshel,"georg gottlob, christoph koch, reinhard pichler",2003,sigmod record,53e9b316b7602d9703ddf961
relat data share in peerba data manag system,"beng chin ooi, yanfeng shu, kian-lee tan",2003,sigmod record,53e9aee4b7602d9703911678
editor note,lin liu,2004,sigmod record,53e99800b7602d970200b601
theori of answer queri use view,alon y. halevy,2000,sigmod record,53e9a6dfb7602d97030162b3
control strategi for complex relat queri process in share noth system,"lionel brunie, harald kosch",1996,sigmod record,53e9ab31b7602d97034bb6c4
treasur messag,joachim hammer,2002,sigmod record,53e9984fb7602d970208510b
implement aspect of an objectori dbms,"asuman dogac, mehmet altinel, cetin ozkan, ilker durusoy",1995,sigmod record,53e9b95bb7602d9704549f06
open gis and onlin environ librari,kenn gardels,1997,sigmod record,53e9aea4b7602d97038c9599
increment data structur and algorithm for dynam queri interfac,"egemen tanin, richard beigel, ben shneiderman",1996,sigmod record,53e9acbcb7602d970369b25e
eiha deploy web and wap servic use xml technolog,"chiara biancheri, jean-christophe r. pazzaglia, gavino paddeu",2001,sigmod record,53e9babab7602d97046e7c3c
an introduct to remi fast polymorph record project,limsoon wong,1995,sigmod record,53e9b700b7602d97042950b9
expo undergradu student to databa system intern,"anastassia ailamaki, joseph m. hellerstein",2003,sigmod record,53e9b1c2b7602d9703c5029f
review of data on the web from relat to semistructur data and xml by serg abiteboul peter buneman and dan suciu morgan kaufmann 1999,"fernando berzal galiano, nicolás marín",2003,sigmod record,53e9a757b7602d970308f864
integr model system for environ manag inform system,"david j. abel, kerry l. taylor, dean kuo",1997,sigmod record,53e9985fb7602d9702096dfe
amicalola report databa and inform system research challeng and opportun in semant web and enterpri,"amit p. sheth, robert meersman",2002,sigmod record,53e9b61bb7602d970416f8ed
effici materi and use of view in data wareh,"márcio farias de souza, marcus costa sampaio",1999,sigmod record,53e9b65bb7602d97041be2dd
an orthogon persist java,"malcolm p. atkinson, laurent daynès, mick j. jordan, tony printezis, susan spence",1996,sigmod record,53e99a4eb7602d97022b2d1f
environ inform system guest editor foreword,oliver günther,1997,sigmod record,53e99b2cb7602d97023c5356
constraint databa a tutori introduct,jan van den bussche,2000,sigmod record,53e9ac33b7602d97035fc49a
sqlxml and the sqlx inform group of compani,"andrew eisenberg, jim melton",2001,sigmod record,53e9a7d6b7602d9703115de0
a compon architectur for dynam electron market,"benny reich, israel ben-shaul",1998,sigmod record,53e9b8a1b7602d970447d825
inform system research at rwth aachen,matthias jarke,1995,sigmod record,53e9b8d4b7602d97044b3ccc
editor note,michael j. franklin,1999,sigmod record,53e99800b7602d970200b5fd
to tabl or not to tabl a hypertabular answer,"giuseppe santucci, laura tarantino",1996,sigmod record,53e9ac5cb7602d970362ecc1
an anonym electron commerc scheme with an offlin author and untrust agent,"josep domingo-ferrer, jordi herrera-joancomartí",1998,sigmod record,53e99f02b7602d97027cc611
editor note,michael j. franklin,2000,sigmod record,53e99800b7602d970200b603
manag uncertainti in sensor databa,"reynold cheng, sunil prabhakar",2003,sigmod record,53e9b023b7602d9703a812bc
xpath queri contain,thomas schwentick,2004,sigmod record,53e99846b7602d9702077788
editor note,michael j. franklin,2000,sigmod record,53e99800b7602d970200b603
messag from editorinchief acm transact on databa system,won kim,1999,sigmod record,53e99f0ab7602d97027d6316
report on the 18th british nation confer on databa bncod,"carole a. goble, brian j. read",2002,sigmod record,53e9b62eb7602d970418b0b2
a research status report on adapt for mobil data access,"brian noble, mahadev satyanarayanan",1995,sigmod record,53e9ab6fb7602d970350e60f
match larg xml schema,"erhard rahm, hong hai do, sabine massmann",2004,sigmod record,53e99a67b7602d97022d556a
semant video index approach and issu,arun hampapur,1999,sigmod record,53e9bd4bb7602d97049d90b0
distribut transact in practic,"prabhu ram, lyman do, pamela drew",1999,sigmod record,53e99a2ab7602d9702283f63
unisql nextgen objectrel databa manag system,"albert d'andrea, phil janus",1996,sigmod record,53e9ae22b7602d9703836aa0
scientist call upon to take action,xiaolei qian,1996,sigmod record,53e99ea7b7602d9702772455
analysi of exist databa at the logic level the dba companion project,"fabien de marchi, stéphane lopes, jean-marc petit, farouk toumani",2003,sigmod record,53e99de2b7602d97026a6cc2
respon to a close look at the ifo data model,"serge abiteboul, richard hull",1995,sigmod record,53e9ba4eb7602d97046678f4
in repli to domain relat and religi war,hugh darwen,1996,sigmod record,53e9b7cdb7602d970437bea2
practic lesson in support largesc comput scienc,"ron musick, terence critchlow",1999,sigmod record,53e9b0eeb7602d9703b6ab6e
construct effici deci tree by use optim numer associ rule,"takeshi fukuda, yasuhiko morimoto, shinichi morishita, takeshi tokuyama",1996,vldb,53e9b5b6b7602d97040fa1e4
the bess object storag manag architectur overview,"alexandros biliris, euthimios panagos",1996,sigmod record,53e9b3c7b7602d9703eb19ad
inform discoveri extract and integr for the hidden web,jiying wang,2003,vldb phd workshop,53e9a6f5b7602d9703028288
promi and realiti of activ databa system,"eric simon, angelika kotz dittrich",1995,vldb,53e99967b7602d97021a9954
proceed of the vldb 2003 phd workshop coloc with the 29th intern confer on veri larg data base vldb 2003 berlin septemb 1213 2003,unamed,2003,vldb phd workshop,53e99d88b7602d9702645354
the valu of mergejoin and hashjoin in sql server,goetz graefe,1999,vldb,53e9ad72b7602d970375d2fa
distribut process over standalon system and applic,"gustavo alonso, claus hagen, hans-jörg schek, markus tresch",1997,vldb,53e9bbcfb7602d970481d40a
extract and exploit structur in text search,prabhakar raghavan,2003,sigmod confer,53e9bb52b7602d9704792047
reminisc on influenti paper,"kenneth a. ross, stefano ceri, luis gravano, per-åke larson, leonid libkin, tova milo",2001,sigmod record,53e99b0ab7602d970239c218
a region split strategi for physic databa design of multidimens file organ,"jong-hak lee, young-koo lee, kyu-young whang, il-yeol song",1997,vldb,53e9a9e6b7602d9703349393
multidimens access method tree have grown everywh,"timos k. sellis, nick roussopoulos, christos faloutsos",1997,vldb,53e9b3a3b7602d9703e857da
db2 spatial extend spatial data within the rdbms,david w. adler,2001,vldb,53e9b1c9b7602d9703c5b2cc
trend in data wareh a practit view,william o'connell,2004,vldb,53e9b08ab7602d9703af6afa
bibfinderstatmin effect mine and use coverag and overlap statist in data integr,"zaiqing nie, subbarao kambhampati, thomas hernandez",2003,vldb,53e9a682b7602d9702fb5f2a
order inform confer organ program committ addit review addit demonstr review sponsor vldb endow prefac foreword,unamed,2000,vldb,53e9a5f0b7602d9702f1eb77
an effici and resili approach to filter and dissemin stream data,"shetal shah, shyamshankar dharmarajan, krithi ramamritham",2003,vldb,53e9bc9eb7602d970491e13e
concurr in the data wareh,richard taylor,2000,vldb,53e9ac4eb7602d970361b85f
rtmonitor realtim data monitor use mobil agent technolog,"kam-yiu lam, alan kwan, krithi ramamritham",2002,vldb,53e9b708b7602d970429b70d
extract larg data set use db2 parallel edit,sriram padmanabhan,1996,vldb,53e99b0ab7602d970239bff2
repeat histori beyond ari,c. mohan,1999,vldb,53e99afeb7602d970238ffd2
eroc a toolkit for build neato queri optim,"william j. mckenna, louis burger, chi hoang, melissa truong",1996,vldb,53e9affbb7602d9703a55249
progress merg join a generic and nonblock sortba join algorithm,"jens-peter dittrich, bernhard seeger, david scot taylor, peter widmayer",2002,vldb,53e99b43b7602d97023e3b29
use taxonomi discrimin and signatur for navig in text databa,"soumen chakrabarti, byron dom, rakesh agrawal, prabhakar raghavan",1997,vldb,53e9b124b7602d9703ba665b
process autom as the foundat for ebusi,"fabio casati, ming-chien shan",2000,vldb,53e9b6b0b7602d97042321a7
flexibl relat oper support of variant relat structur,"christian kalus, peter dadam",1995,vldb,53e99ac4b7602d9702343ad0
similar base retriev of pictur use indic on spatial relationship,"a. prasad sistla, clement t. yu, chengwen liu, king-lup liu",1995,vldb,53e99ea0b7602d970276a77f
path queri on compress xml,"peter buneman, martin grohe, christoph koch",2003,vldb,53e9aec4b7602d97038eab1c
selfserv a platform for rapid composit of web servic in a peertop environ,"quan z. sheng, boualem benatallah, marlon dumas, eileen oi-yan mak",2002,vldb,53e9bb3db7602d970477b953
mindread queri databa through multipl exampl,"yoshiharu ishikawa, ravishankar subramanya, christos faloutsos",1998,vldb,53e9abf6b7602d97035b44f2
are web servic the next revolut in ecommerc panel,"shalom tsur, serge abiteboul, rakesh agrawal, umeshwar dayal, johannes klein, gerhard weikum",2001,vldb,53e9ba49b7602d970465bc70
a framework for cluster evolv data stream,"charu c. aggarwal, jiawei han, jianyong wang, philip s. yu",2003,vldb,53e9a85cb7602d97031a708b
on a hierarch index fuzzi contentba imag retriev approach,krisztian vereb,2003,vldb phd workshop,53e9a308b7602d9702c0f941
scalabl and avail in oracle7 73,dieter gawlick,1996,vldb,53e99bcdb7602d9702479cdc
appli data mine techniqu to a health insur inform system,"marisa s. viveros, john p. nearhos, michael j. rothman",1996,vldb,53e9b029b7602d9703a885d7
probabilist optim of top n queri,"donko donjerkovic, raghu ramakrishnan",1999,vldb,53e9a042b7602d970292b087
the tprtree an optim spatiotempor access method for predict queri,"yufei tao, dimitris papadias, jimeng sun",2003,vldb,53e9b56cb7602d97040a42d2
storag servic provid a solut for storag manag panel,"banu özden, eran gabber, bruce hillyer, wee teck ng, elizabeth a. m. shriver, david j. dewitt, bruce gordon, jim gray, john wilkes",2001,vldb,53e9a145b7602d9702a36c9a
facilit multimedia databa explor through visual interfac and perpetu queri reformul,"wen-syan li, k. selçuk candan, kyoji hirata, yoshinori hara",1997,vldb,53e9a14db7602d9702a41c05
mine multidimens constrain gradient in data cube,"guozhu dong, jiawei han, joyce m. w. lam, jian pei, ke wang",2001,vldb,53e9b483b7602d9703f888e9
grid and applic industri session,frank leymann,2003,vldb,53e9a839b7602d97031825d8
on optim node split for rtree,"yván j. garcía, mario a. lopez, scott t. leutenegger",1998,vldb,53e9ab00b7602d9703480b8c
manag a db2 parallel edit databa,gilles fecteau,1995,vldb,53e9a32eb7602d9702c36ba1
implement xqueri 10 the galax experi,"mary f. fernández, jérôme siméon, byron choi, amélie marian, gargi sur",2003,vldb,53e9a1e1b7602d9702add6b4
cheetah a lightweight transact server for plugandplay internet data manag,"guy pardon, gustavo alonso",2000,vldb,53e9b4bfb7602d9703fd608d
develop an index scheme for xml document collect use the oracle8i exten framework,"seema sundara, ying hu, timothy chorma, nipun agarwal, jagannathan srinivasan",2001,vldb,53e9b213b7602d9703ca91cd
bloom histogram path select estim for xml data with updat,"wei wang 0011, haifeng jiang, hongjun lu, jeffrey xu yu",2004,vldb,53e9bd11b7602d97049968a9
the nation medic knowledg bank,warren sterling,1998,vldb,53e9b57cb7602d97040b867f
cacheconsci concurr control of mainmemori index on sharedmemori multiprocessor system,"sang kyun cha, sangyong hwang, kihong kim, keunjoo kwon",2001,vldb,53e9b7adb7602d9704357b52
